journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,1043-951X,2026,China Economic Review,Environmental regulation and indirect innovation effects along supply chain: Evidence from China's water pollution prevention and control action plan,"Du, Kerui; He, Kaixi; Yao, Xin",10.1016/j.chieco.2026.102730,https://doi.org/10.1016/j.chieco.2026.102730,,journal-article,,,19.645477,0
,1043-951X,2025,China Economic Review,The bad neighborhood effect: Supply chain disruptions arising from neighboring wars,"Ding, Haoyuan; Tang, Junjie; Zhang, Mo",10.1016/j.chieco.2024.102329,https://doi.org/10.1016/j.chieco.2024.102329,,journal-article,,89,13.28004,1
,1043-951X,2024,China Economic Review,The impact of digital infrastructure on the geographical supply chain layout of firms —— Evidence from Chinese microdata,"Ji, Jie; Wang, Ying",10.1016/j.chieco.2024.102249,https://doi.org/10.1016/j.chieco.2024.102249,,journal-article,,87,12.680027,19
,1043-951X,2024,China Economic Review,Adapting to trade friction: The supply chain dynamics of Chinese suppliers,"Guo, Guangyuan; Hu, Dongmin; Wang, Huanhuan; Zhang, Zhiqiang",10.1016/j.chieco.2024.102230,https://doi.org/10.1016/j.chieco.2024.102230,,journal-article,,87,11.136911,15
,1043-951X,2025,China Economic Review,Productivity implications of inefficient environmental regulation: Evidence from China,"Hang, Jing; Wang, Miaojun; Zhou, Mohan",10.1016/j.chieco.2025.102362,https://doi.org/10.1016/j.chieco.2025.102362,,journal-article,,90,10.240078,4
,1043-951X,2025,China Economic Review,The cross-border spillover effect of U.S. government subsidies on firms' innovation: Evidence from the Sino-US supply chain,"Hu, Beibei; Luan, Qiao; Wang, Kai; Zhu, Linke",10.1016/j.chieco.2025.102425,https://doi.org/10.1016/j.chieco.2025.102425,,journal-article,,92,10.137204,4
,1043-951X,2025,China Economic Review,Unintended negative impact of environmental regulation on public safety: Evidence from China,"Zhang, Yichuan; Shen, Jiezhong; Zhu, Tianyun",10.1016/j.chieco.2025.102562,https://doi.org/10.1016/j.chieco.2025.102562,,journal-article,,94,9.482267,0
,1043-951X,2024,China Economic Review,Land price regulation and firms' global value chain position: Evidence from China,"Wu, Huaqing; Wang, Ling; Peng, Fei",10.1016/j.chieco.2024.102187,https://doi.org/10.1016/j.chieco.2024.102187,,journal-article,,85,8.839294,9
,1043-951X,2025,China Economic Review,"Import diversification, market risk co-movement and Agri-food supply chain resilience","Li, Xixi; Liu, Hongman; Wang, Zhuang; Chen, Hongsong",10.1016/j.chieco.2025.102483,https://doi.org/10.1016/j.chieco.2025.102483,,journal-article,,93,8.818512,3
,1043-951X,2024,China Economic Review,Environmental regulation and manufacturing employment: Evidence from China's Eleventh Five-Year Plan,"Liao, Jiaqi; Zhang, Ning",10.1016/j.chieco.2024.102226,https://doi.org/10.1016/j.chieco.2024.102226,,journal-article,,87,8.565367,18
,1043-951X,2025,China Economic Review,Environmental regulation and equilibrium unemployment in China: Evidence from a multiple-sector search and matching model,"Li, Zhe; Lyu, Pinjie; Sun, Jianfei",10.1016/j.chieco.2024.102336,https://doi.org/10.1016/j.chieco.2024.102336,,journal-article,,89,8.251516,3
,1043-951X,2025,China Economic Review,The mitigating effects of blockchain adoption on supply chain financing disruptions under crises: Evidence from China,"Li, Haolin; Cheng, Sirui; Hua, Xiuping; Wang, Yong",10.1016/j.chieco.2025.102502,https://doi.org/10.1016/j.chieco.2025.102502,,journal-article,,94,7.3987293,1
,1043-951X,2024,China Economic Review,Maternity leave reform and women's labor supply: Evidence from China,"Shen, Yu; Qie, Xueting; Bi, Qingmiao",10.1016/j.chieco.2024.102256,https://doi.org/10.1016/j.chieco.2024.102256,,journal-article,,87,6.890134,5
,1043-951X,2024,China Economic Review,The effect of the new cooperative medical scheme on rural labor supply in China,"Liu, Xiao; Burge, Gregory S.",10.1016/j.chieco.2024.102159,https://doi.org/10.1016/j.chieco.2024.102159,,journal-article,,85,6.6612883,4
,1043-951X,2024,China Economic Review,The environmental and economic consequences of environmental centralization: Evidence from China's environmental vertical management reform,"Tan, Jing; Liu, Tianyi; Xu, Hao",10.1016/j.chieco.2024.102127,https://doi.org/10.1016/j.chieco.2024.102127,,journal-article,,84,6.348234,29
,1043-951X,2026,China Economic Review,Supply network and firm innovation: Evidence from China,"Deng, Xiao; He, Shi-Ting; Lin, Xinrui; Tang, Junjie",10.1016/j.chieco.2025.102601,https://doi.org/10.1016/j.chieco.2025.102601,,journal-article,,95,6.1839833,1
,1043-951X,2025,China Economic Review,Long-term consequences of fertility on elderly labor supply,"Wang, Sophie Xuefei",10.1016/j.chieco.2025.102430,https://doi.org/10.1016/j.chieco.2025.102430,,journal-article,,92,6.0687704,3
,1043-951X,2025,China Economic Review,Global monetary policy shocks and the adaptation of supply chains,"Li, Chang; Li, Wei; Shao, Yuhui",10.1016/j.chieco.2025.102535,https://doi.org/10.1016/j.chieco.2025.102535,,journal-article,,94,5.5917077,0
,1043-951X,2025,China Economic Review,"Technology, regulation, and the transformation of bank deposit business in China","Ge, Xinyu; Liu, Yan; Yang, Yutong",10.1016/j.chieco.2025.102497,https://doi.org/10.1016/j.chieco.2025.102497,,journal-article,,93,5.5305223,0
,1043-951X,2025,China Economic Review,Customer digital transformation and enterprise risk-taking: Evidence from Chinese supply chains,"Ding, Yibing; Sun, Yining; Zhang, Xiaoou",10.1016/j.chieco.2025.102418,https://doi.org/10.1016/j.chieco.2025.102418,,journal-article,,91,5.5009627,12
,1043-951X,2025,China Economic Review,"Global value chain position, industrial policy, and bank loan allocation: Evidence from Chinese manufacturing firms","Liu, ShiYi; Liu, HaiYue; Li, WeiKe",10.1016/j.chieco.2025.102575,https://doi.org/10.1016/j.chieco.2025.102575,,journal-article,,94,5.3305697,2
,1043-951X,2024,China Economic Review,"Where did the time go? The effects of China's two-day weekend policy on labor supply, household work, and wages","Fang, Tony; Lin, Carl; Tang, Xueli",10.1016/j.chieco.2023.102107,https://doi.org/10.1016/j.chieco.2023.102107,,journal-article,,83,5.2593083,5
,1043-951X,2026,China Economic Review,Imports of key capital goods and firms’ span of production stages: A global value chain perspective,"Zhang, Liang; Zhou, Hengrui; Wu, Lamei; Xu, Jialin",10.1016/j.chieco.2026.102697,https://doi.org/10.1016/j.chieco.2026.102697,,journal-article,,98,5.251708,0
,1043-951X,2024,China Economic Review,Does liquidity regulation affect commercial banks' carbon bias? Evidence from China,"Dai, Junxun; Liu, Yan; Yuan, Wei; Zou, Xin",10.1016/j.chieco.2024.102253,https://doi.org/10.1016/j.chieco.2024.102253,,journal-article,,87,5.1326036,2
,1043-951X,2024,China Economic Review,Price of going green: The employment effects of the environmental protection tax in China,"Lu, Shuling; Yang, Qijing",10.1016/j.chieco.2024.102244,https://doi.org/10.1016/j.chieco.2024.102244,,journal-article,,87,4.591031,20
,1043-951X,2024,China Economic Review,Uniform agricultural tax abolition and differential household labor supply: Evidence from China's urban household survey,"Cai, Jun; Zhao, Kui",10.1016/j.chieco.2024.102175,https://doi.org/10.1016/j.chieco.2024.102175,,journal-article,,86,4.505212,0
,1043-951X,2026,China Economic Review,How polluting enterprises respond to Pigovian tax: Evidence from China's environmental protection tax law,"Yang, Xiaolei; Wan, Panbing; Yang, Mian",10.1016/j.chieco.2026.102723,https://doi.org/10.1016/j.chieco.2026.102723,,journal-article,,98,4.1862383,0
,1043-951X,2024,China Economic Review,How environmental information is capitalized into the housing market? Evidence from China's National Ambient Air Quality Standards,"Wang, Kunlun; Yao, Hongjiang",10.1016/j.chieco.2024.102264,https://doi.org/10.1016/j.chieco.2024.102264,,journal-article,,88,4.1596904,6
,1043-951X,2024,China Economic Review,Regulation-induced digitalization,"Zhang, Yunqi; Zhang, Xiaoyu",10.1016/j.chieco.2024.102262,https://doi.org/10.1016/j.chieco.2024.102262,,journal-article,,88,3.9769394,6
,1043-951X,2024,China Economic Review,The deterrent effect of environmental judicature on firms' pollution emissions: Evidence from a quasi-natural experiment in China,"Zhou, Peng; Huang, Xiaoqi; Song, Frank M.",10.1016/j.chieco.2024.102291,https://doi.org/10.1016/j.chieco.2024.102291,,journal-article,,88,3.8114235,16
,1043-951X,2026,China Economic Review,Political gestures or tightening mandates? New evidence for campaign-style environmental intervention in China,"Li, Jianglong; Sun, Shiqiang; Meng, Guanfei; Liu, Hongxun",10.1016/j.chieco.2026.102670,https://doi.org/10.1016/j.chieco.2026.102670,,journal-article,,96,3.8065817,0
,1043-951X,2025,China Economic Review,Assessing economic resilience in a manufacturing-based region through industrial restructuring with environmental thresholds: An updating framework,"Peng, Cheng; Qiao, Yawen; Long, Hai; Wang, Yaxing",10.1016/j.chieco.2025.102441,https://doi.org/10.1016/j.chieco.2025.102441,,journal-article,,92,3.7322404,4
,1043-951X,2026,China Economic Review,The impact of environmental concern on cross-regional investment: Evidence from Chinese new energy enterprises,"Mao, Qilin; Guo, Chongyang",10.1016/j.chieco.2025.102647,https://doi.org/10.1016/j.chieco.2025.102647,,journal-article,,95,3.6679864,1
,1043-951X,2024,China Economic Review,Administrative division adjustment and environmental pollution: Evidence from City-County Mergers in China,"Ma, Hongqi; Zou, Jingxian; Cai, Hongbo; Zhang, Li",10.1016/j.chieco.2024.102141,https://doi.org/10.1016/j.chieco.2024.102141,,journal-article,,84,3.52238,29
,1043-951X,2024,China Economic Review,Environmental co-benefits of climate mitigation: Evidence from clean development mechanism projects in China,"Wan, Panbing; Zhang, ZhongXiang; Chen, Lin",10.1016/j.chieco.2024.102182,https://doi.org/10.1016/j.chieco.2024.102182,,journal-article,,85,2.9836462,10
,1043-951X,2024,China Economic Review,Information disclosure and public participation in environmental management: Evidence from the river chief system in China,"Liu, Yazhou; Cheng, Yunqian; Li, Tianshu; Ni, Jinlan; Norman, Stephen",10.1016/j.chieco.2024.102168,https://doi.org/10.1016/j.chieco.2024.102168,,journal-article,,85,2.8089561,23
,1043-951X,2026,China Economic Review,Targeted environmental policy and public welfare: Evidence from fireworks deregulation in China,"Yang, Jie; Wei, Chu; Shen, Renjun; Ji, Tonghui",10.1016/j.chieco.2026.102668,https://doi.org/10.1016/j.chieco.2026.102668,,journal-article,,96,2.7306921,0
